,Title,Artist,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top10_dummy,Top50_dummy
1040,can i be him,James Arthur,6843219,4,17,0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969,246880,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1056,yikes,Nicki Minaj,19152566,1,1,0.911,0.637,8,-8.381,1,0.447,0.0409,3.68e-05,0.238,0.66,149.996,156882,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1060,the hills,The Weeknd,25562055,5,14,0.356,0.567,0,-7.011,0,0.0798,0.0861,0.0,0.137,0.109,135.553,242253,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1078,all day long,Chance the Rapper - John Legend,5045736,1,22,0.767,0.884,2,-3.674,1,0.161,0.028,0.0,0.103,0.717,123.01,208238,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1096,dont leave,Snakehips - MØ,322897,1,1,0.657,0.703,1,-3.402,1,0.0753,0.222,0.0,0.256,0.338,122.381,214693,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,sorrows,Bryson Tiller,4447390,6,10,0.633,0.793,5,-6.847,0,0.182,0.148,0.0,0.867,0.761,109.093,193702,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,faking it,Calvin Harris - Kehlani - Lil Yachty - Funk Wav,20814678,9,10,0.776,0.589,9,-4.543,0,0.115,0.319,0.0,0.0715,0.668,120.034,240093,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1161,yosemite,Travis Scott,13434540,12,17,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,150043,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1193,pull up n wreck,Big Sean - Metro Boomin - 21 Savage,7838718,4,10,0.49,0.44,10,-7.76,1,0.353,0.00806,0.00103,0.186,0.091,173.095,227533,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1196,paradise,Bazzi,3807231,1,2,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1229,houstonfornication,Travis Scott,13434540,16,17,0.689,0.723,0,-4.052,0,0.0836,0.0985,0.0,0.158,0.288,160.042,217828,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1250,naeem,Bon Iver,2788650,7,13,0.37,0.408,0,-10.355,1,0.0441,0.804,0.0279,0.678,0.164,125.068,262267,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,keanu reeves,Logic,5004777,13,16,0.712,0.891,2,-6.457,1,0.24,0.0557,0.0,0.133,0.799,170.13,225933,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1272,who shot cupid?,Juice WRLD,13266070,12,22,0.758,0.932,3,-2.809,1,0.0372,0.0558,0.0,0.097,0.592,125.993,214246,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1277,party girl,StaySolidRocky,106823,3,7,0.73,0.439,6,-9.864,0,0.0609,0.747,0.0,0.0988,0.615,130.09,147800,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1301,come around me,Justin Bieber,39214943,3,17,0.648,0.681,2,-8.389,0,0.0378,0.263,0.00783,0.0971,0.767,157.941,200773,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1324,the good side,Troye Sivan,5087482,1,1,0.424,0.259,2,-16.509,1,0.0531,0.418,0.00247,0.354,0.316,165.755,268597,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1340,culture,Migos - DJ Khaled,10919803,1,13,0.825,0.7,11,-5.098,0,0.243,0.0379,0.0,0.139,0.317,132.996,153558,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1344,nowadays,Lil Skies - Landon Cube,4514676,1,1,0.745,0.646,6,-6.987,0,0.17,0.157,0.0,0.338,0.46,79.993,203908,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1378,the promise,Chris Cornell,1373012,1,1,0.427,0.62,5,-7.768,0,0.0332,0.276,0.0,0.125,0.328,145.658,260837,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1387,youngblood,5 Seconds of Summer,6734577,1,1,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,203418,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1421,jaded,Drake,50593376,3,25,0.766,0.272,0,-5.696,1,0.041,0.0366,0.0,0.175,0.037,116.036,262453,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1448,on my way,Tiësto - Bright Sparks,5177309,1,1,0.629,0.764,7,-4.023,1,0.036,0.00981,0.0,0.221,0.577,123.972,183710,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,loyalty. feat. rihanna.,Kendrick Lamar - Rihanna,15770741,6,14,0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684,227360,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1507,what makes a woman,Katy Perry,16588925,1,1,0.363,0.594,2,-7.847,1,0.079,0.184,0.0,0.106,0.257,94.639,131271,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1513,pov,Ariana Grande,52571724,14,14,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1542,baguettes in the face,Mustard - NAV - Playboi Carti - A Boogie Wit da Hoodie,766299,4,10,0.883,0.525,2,-8.054,0,0.0633,0.189,0.0,0.0971,0.312,99.978,174100,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1549,it might be time,Tame Impala,4300741,1,1,0.586,0.786,2,-3.768,1,0.0484,0.0212,9.35e-05,0.642,0.326,115.959,273013,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1557,snitches & rats,21 Savage - Metro Boomin - Young Nudy,8668809,9,15,0.821,0.671,9,-5.893,1,0.18,0.00843,8.5e-05,0.0972,0.494,145.953,187773,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1578,lust,Lil Skies,4514676,4,14,0.718,0.767,9,-5.641,1,0.166,0.138,0.0,0.114,0.519,160.084,156000,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1588,yung bratz,XXXTENTACION,22910410,6,7,0.755,0.695,9,-5.963,1,0.26,0.0179,0.0,0.107,0.493,128.063,101851,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1596,father of 4,Offset - Big Rube,1770484,1,16,0.736,0.515,1,-7.739,1,0.163,0.384,4.31e-06,0.113,0.421,149.977,259834,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,one day,Logic - Ryan Tedder,5004777,5,14,0.546,0.871,10,-5.81,1,0.148,0.139,8.28e-05,0.104,0.303,189.723,198107,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,on,BTS,24755789,11,20,0.583,0.817,9,-5.146,0,0.0987,0.118,0.0,0.338,0.438,105.936,246381,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1639,what am i,Why Don't We,2394814,2,2,0.614,0.647,0,-4.681,0,0.0524,0.0687,0.0,0.104,0.368,163.862,184665,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652,feel something,Bea Miller,2027471,1,1,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1668,obey,Bring Me The Horizon - YUNGBLUD,3266166,1,1,0.462,0.99,1,-3.175,0,0.211,0.000103,0.0,0.374,0.204,137.061,220539,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1678,sweet creature,Harry Styles,10361677,5,10,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,224867,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1717,no auto,Lil Uzi Vert - Lil Durk,10065137,11,32,0.713,0.681,11,-7.645,0,0.351,0.00286,0.0,0.291,0.635,159.107,135065,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1721,psycho,Post Malone - Ty Dolla $ign,29173640,8,18,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06,221440,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
